date,strategy,gross_pnl,net_pnl,costs,contracts,outcome,strike,premium,spy_close,market_conditions,risk_reward_ratio,position_rationale,strike_type
20240301,balanced_put_sale,22.000000000003638,18.24000000000362,3.7600000000000193,1,ASSIGNED,513.0,0.51,512.71,"{'favorable': True, 'daily_return': 0.6833847181038073, 'daily_range': 1.7064980460695667, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",1.758620689655393,"Range:1.71%, Buffer:$0.29",ITM
20240304,balanced_put_sale,11.0,7.295,3.705,1,EXPIRED_WORTHLESS,512.0,0.11,512.3,"{'favorable': True, 'daily_return': 0.015618289016424043, 'daily_range': 1.3373159970325295, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",0.36666666666672226,"Range:1.34%, Buffer:$-0.30",OTM
20240307,balanced_put_sale,75.0,70.975,4.025000000000006,1,EXPIRED_WORTHLESS,515.0,0.75,515.015,"{'favorable': True, 'daily_return': 1.2035999921397553, 'daily_range': 6.486667059678908, 'volatility_level': 'HIGH', 'market_sentiment': 'bullish'}",50.000000000045475,"Range:6.49%, Buffer:$-0.01",OTM
20240308,balanced_put_sale,-34.999999999997726,-38.824999999997715,3.8249999999999886,1,ASSIGNED,512.0,0.05,511.6,"{'favorable': True, 'daily_return': -0.8046534173533645, 'daily_range': 1.3766359670382982, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",0.1250000000000071,"Range:1.38%, Buffer:$0.40",ITM
20240312,balanced_put_sale,7.000000000004092,3.3150000000040714,3.6850000000000205,1,ASSIGNED,517.0,0.24,516.83,"{'favorable': True, 'daily_return': 0.6700559029198182, 'daily_range': 1.4540602660745305, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",1.4117647058826928,"Range:1.45%, Buffer:$0.17",ITM
20240315,balanced_put_sale,-19.999999999997726,-23.749999999997716,3.7499999999999893,1,ASSIGNED,510.0,0.2,509.6,"{'favorable': True, 'daily_return': -0.5949478201501911, 'daily_range': 1.3377938164439809, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",0.5000000000000284,"Range:1.34%, Buffer:$0.40",ITM
20240318,balanced_put_sale,30.500000000001364,26.69750000000136,3.8025000000000055,1,ASSIGNED,513.0,0.32,512.985,"{'favorable': True, 'daily_return': 0.3766681015927702, 'daily_range': 1.1867491096935776, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",21.333333333352737,"Range:1.19%, Buffer:$0.01",ITM
20240319,balanced_put_sale,14.000000000003638,10.28000000000362,3.7200000000000184,1,ASSIGNED,516.0,0.43,515.71,"{'favorable': True, 'daily_return': 0.6283049425354694, 'daily_range': 1.2566098850709277, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",1.482758620689841,"Range:1.26%, Buffer:$0.29",ITM
20240322,balanced_put_sale,6.0,2.3200000000000003,3.6799999999999997,1,EXPIRED_WORTHLESS,521.0,0.06,521.21,"{'favorable': True, 'daily_return': -0.19340507831948048, 'daily_range': 2.8043736356324884, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",0.2857142857142362,"Range:2.80%, Buffer:$-0.21",OTM
20240325,balanced_put_sale,-5.00000000000182,-8.675000000001829,3.6750000000000087,1,ASSIGNED,520.0,0.18,519.77,"{'favorable': True, 'daily_return': -0.19010676703279997, 'daily_range': 1.3558837084261361, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",0.782608695652112,"Range:1.36%, Buffer:$0.23",ITM
20240326,balanced_put_sale,48.00000000000364,44.11000000000362,3.890000000000015,1,ASSIGNED,520.0,0.77,519.71,"{'favorable': True, 'daily_return': -0.24377135398671387, 'daily_range': 1.5394065031287372, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",2.6551724137934367,"Range:1.54%, Buffer:$0.29",ITM
