date,trade_executed,strategy_used,pnl,spy_close,trade_details
20240301,True,primary,35.000000000007276,512.71,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 513.0, 'premium': 0.51, 'gross_premium': 102.0, 'total_costs': 8.0, 'net_premium': 94.0, 'spy_close': 512.71, 'final_pnl': 35.000000000007276, 'outcome': 'ASSIGNED'}"
20240304,True,primary,14.0,512.3,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 512.0, 'premium': 0.11, 'gross_premium': 22.0, 'total_costs': 8.0, 'net_premium': 14.0, 'spy_close': 512.3, 'final_pnl': 14.0, 'outcome': 'EXPIRED_WORTHLESS'}"
20240305,False,,0.0,505.36,
20240306,False,,0.0,509.35,
20240307,False,,0.0,515.015,
20240308,True,primary,-78.99999999999545,511.6,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 512.0, 'premium': 0.05, 'gross_premium': 10.0, 'total_costs': 8.0, 'net_premium': 2.0, 'spy_close': 511.6, 'final_pnl': -78.99999999999545, 'outcome': 'ASSIGNED'}"
20240311,True,counter,-1.0,511.13,"{'strategy': 'closer_atm_put', 'strike': 511.0, 'premium': 0.02, 'final_pnl': -1.0, 'outcome': 'EXPIRED_WORTHLESS'}"
20240312,True,primary,5.0000000000081855,516.83,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 517.0, 'premium': 0.24, 'gross_premium': 48.0, 'total_costs': 8.0, 'net_premium': 40.0, 'spy_close': 516.83, 'final_pnl': 5.0000000000081855, 'outcome': 'ASSIGNED'}"
20240313,True,counter,-4.4999999999972715,515.97,"{'strategy': 'closer_atm_put', 'strike': 516.0, 'premium': 0.02, 'final_pnl': -4.4999999999972715, 'outcome': 'ASSIGNED'}"
20240314,False,,0.0,514.02,
20240315,True,primary,-48.99999999999545,509.6,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 510.0, 'premium': 0.2, 'gross_premium': 40.0, 'total_costs': 8.0, 'net_premium': 32.0, 'spy_close': 509.6, 'final_pnl': -48.99999999999545, 'outcome': 'ASSIGNED'}"
20240318,True,primary,52.00000000000273,512.985,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 513.0, 'premium': 0.32, 'gross_premium': 64.0, 'total_costs': 8.0, 'net_premium': 56.0, 'spy_close': 512.985, 'final_pnl': 52.00000000000273, 'outcome': 'ASSIGNED'}"
20240319,True,primary,19.000000000007276,515.71,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 516.0, 'premium': 0.43, 'gross_premium': 86.0, 'total_costs': 8.0, 'net_premium': 78.0, 'spy_close': 515.71, 'final_pnl': 19.000000000007276, 'outcome': 'ASSIGNED'}"
20240320,False,,0.0,519.46,
20240321,False,,0.0,522.36,
20240322,True,primary,4.0,521.21,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 521.0, 'premium': 0.06, 'gross_premium': 12.0, 'total_costs': 8.0, 'net_premium': 4.0, 'spy_close': 521.21, 'final_pnl': 4.0, 'outcome': 'EXPIRED_WORTHLESS'}"
20240325,True,primary,-19.000000000003638,519.77,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 520.0, 'premium': 0.18, 'gross_premium': 36.0, 'total_costs': 8.0, 'net_premium': 28.0, 'spy_close': 519.77, 'final_pnl': -19.000000000003638, 'outcome': 'ASSIGNED'}"
20240326,True,primary,87.00000000000728,519.71,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 520.0, 'premium': 0.77, 'gross_premium': 154.0, 'total_costs': 8.0, 'net_premium': 146.0, 'spy_close': 519.71, 'final_pnl': 87.00000000000728, 'outcome': 'ASSIGNED'}"
20240327,True,counter,-23.50000000000273,522.78,"{'strategy': 'closer_atm_put', 'strike': 523.0, 'premium': 0.02, 'final_pnl': -23.50000000000273, 'outcome': 'ASSIGNED'}"
20240328,True,counter,-1.0,523.07,"{'strategy': 'closer_atm_put', 'strike': 523.0, 'premium': 0.02, 'final_pnl': -1.0, 'outcome': 'EXPIRED_WORTHLESS'}"
20240401,False,,0.0,522.16,
20240402,False,,0.0,518.75,
20240403,True,primary,-97.00000000000637,519.41,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 520.0, 'premium': 0.15, 'gross_premium': 30.0, 'total_costs': 8.0, 'net_premium': 22.0, 'spy_close': 519.41, 'final_pnl': -97.00000000000637, 'outcome': 'ASSIGNED'}"
20240404,True,primary,274.0,515.32,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 515.0, 'premium': 1.41, 'gross_premium': 282.0, 'total_costs': 8.0, 'net_premium': 274.0, 'spy_close': 515.32, 'final_pnl': 274.0, 'outcome': 'EXPIRED_WORTHLESS'}"
20240405,True,primary,2.0,518.48,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 518.0, 'premium': 0.05, 'gross_premium': 10.0, 'total_costs': 8.0, 'net_premium': 2.0, 'spy_close': 518.48, 'final_pnl': 2.0, 'outcome': 'EXPIRED_WORTHLESS'}"
20240408,True,counter,25.999999999997275,518.72,"{'strategy': 'bear_put_spread', 'long_strike': 520.0, 'short_strike': 518.0, 'net_cost': 0.96, 'final_pnl': 25.999999999997275, 'outcome': 'PARTIAL_PROFIT'}"
20240409,False,,0.0,518.5401,
20240410,True,primary,-13.000000000006365,512.91,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 513.0, 'premium': 0.07, 'gross_premium': 14.000000000000002, 'total_costs': 8.0, 'net_premium': 6.000000000000002, 'spy_close': 512.91, 'final_pnl': -13.000000000006365, 'outcome': 'ASSIGNED'}"
20240411,True,primary,148.99999999999,518.93,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 519.0, 'premium': 0.86, 'gross_premium': 172.0, 'total_costs': 8.0, 'net_premium': 164.0, 'spy_close': 518.93, 'final_pnl': 148.99999999999, 'outcome': 'ASSIGNED'}"
20240412,True,primary,-38.99999999999454,510.72,"{'strategy': 'balanced_minimal_scale_put_sale', 'contracts': 2, 'strike': 511.0, 'premium': 0.13, 'gross_premium': 26.0, 'total_costs': 8.0, 'net_premium': 18.0, 'spy_close': 510.72, 'final_pnl': -38.99999999999454, 'outcome': 'ASSIGNED'}"
