strategy,contracts,short_strike,long_strike,short_premium,long_premium,net_credit,gross_premium,total_costs,net_premium,max_risk,spy_close,final_pnl,outcome,net_cost,strike,premium
balanced_bull_put_spreads,2.0,513.0,509.0,0.51,0.01,0.5,100.0,16.0,84.0,700.0,512.71,25.000000000007276,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,512.0,508.0,0.11,0.01,0.1,20.0,16.0,4.0,780.0,512.3,4.0,BOTH_EXPIRED_WORTHLESS,,,
balanced_bull_put_spreads,2.0,512.0,508.0,0.05,0.01,0.04,8.0,16.0,-8.0,792.0,511.6,-88.99999999999545,PARTIAL_LOSS,,,
closer_atm_bull_put_spread,,511.0,508.0,0.02,0.01,0.01,,,,299.0,,-7.0,BOTH_EXPIRED_WORTHLESS,,,
balanced_bull_put_spreads,2.0,517.0,513.0,0.24,0.01,0.22999999999999998,46.0,16.0,30.0,754.0,516.83,-4.9999999999918145,PARTIAL_LOSS,,,
closer_atm_bull_put_spread,,516.0,513.0,0.02,0.01,0.01,,,,299.0,,-10.499999999997272,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,510.0,506.0,0.2,0.02,0.18000000000000002,36.00000000000001,16.0,20.000000000000007,764.0,509.6,-60.999999999995445,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,513.0,509.0,0.32,0.01,0.31,62.0,16.0,46.0,738.0,512.985,42.00000000000273,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,516.0,512.0,0.43,0.01,0.42,84.0,16.0,68.0,716.0,515.71,9.000000000007276,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,521.0,517.0,0.06,0.01,0.049999999999999996,10.0,16.0,-6.0,790.0,521.21,-6.0,BOTH_EXPIRED_WORTHLESS,,,
balanced_bull_put_spreads,2.0,520.0,516.0,0.18,0.01,0.16999999999999998,34.0,16.0,18.0,766.0,519.77,-29.000000000003638,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,520.0,516.0,0.77,0.01,0.76,152.0,16.0,136.0,648.0,519.71,77.00000000000728,PARTIAL_LOSS,,,
closer_atm_bull_put_spread,,523.0,520.0,0.02,0.01,0.01,,,,299.0,,-29.50000000000273,PARTIAL_LOSS,,,
closer_atm_bull_put_spread,,523.0,520.0,0.02,0.01,0.01,,,,299.0,,-7.0,BOTH_EXPIRED_WORTHLESS,,,
balanced_bull_put_spreads,2.0,520.0,516.0,0.15,0.01,0.13999999999999999,27.999999999999996,16.0,11.999999999999996,772.0,519.41,-107.00000000000637,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,515.0,511.0,1.41,0.01,1.4,280.0,16.0,264.0,520.0,515.32,264.0,BOTH_EXPIRED_WORTHLESS,,,
balanced_bull_put_spreads,2.0,518.0,514.0,0.05,0.01,0.04,8.0,16.0,-8.0,792.0,518.48,-8.0,BOTH_EXPIRED_WORTHLESS,,,
bear_put_spread,,518.0,520.0,,,,,,,,,25.999999999997275,PARTIAL_PROFIT,0.96,,
balanced_bull_put_spreads,2.0,513.0,509.0,0.07,0.01,0.060000000000000005,12.000000000000002,16.0,-3.9999999999999982,788.0,512.91,-23.000000000006366,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,519.0,515.0,0.86,0.01,0.85,170.0,16.0,154.0,630.0,518.93,138.99999999999,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,511.0,507.0,0.13,0.01,0.12000000000000001,24.000000000000004,16.0,8.000000000000004,776.0,510.72,-48.99999999999454,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,506.0,502.0,1.82,0.01,1.81,362.0,16.0,346.0,438.0,506.29,346.0,BOTH_EXPIRED_WORTHLESS,,,
closer_atm_bull_put_spread,,503.0,500.0,0.04,0.01,0.03,,,,297.0,,-5.0,BOTH_EXPIRED_WORTHLESS,,,
balanced_bull_put_spreads,2.0,502.0,498.0,1.51,0.01,1.5,300.0,16.0,284.0,500.0,501.79,241.0000000000041,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,500.0,496.0,0.38,0.01,0.37,74.0,16.0,58.0,726.0,499.89,34.99999999999727,PARTIAL_LOSS,,,
balanced_bull_put_spreads,2.0,496.0,492.0,0.85,0.01,0.84,168.0,16.0,152.0,632.0,496.425,152.0,BOTH_EXPIRED_WORTHLESS,,,
balanced_bull_put_spreads,2.0,500.0,496.0,0.72,0.01,0.71,142.0,16.0,126.0,658.0,500.61,126.0,BOTH_EXPIRED_WORTHLESS,,,
bear_put_spread,,507.0,509.0,,,,,,,,,-9.999999999999094,PARTIAL_PROFIT,0.78,,
balanced_bull_put_spreads,2.0,510.0,506.0,0.07,0.01,0.060000000000000005,12.000000000000002,16.0,-3.9999999999999982,788.0,510.06,-3.9999999999999982,BOTH_EXPIRED_WORTHLESS,,,
closer_atm_bull_put_spread,,503.0,500.0,1.12,0.08,1.04,,,,196.0,,96.0,BOTH_EXPIRED_WORTHLESS,,,
closer_atm_bull_put_spread,,507.0,504.0,6.1,3.37,2.7299999999999995,,,,27.000000000000046,,264.99999999999994,BOTH_EXPIRED_WORTHLESS,,,
