date,strategy,gross_pnl,net_pnl,costs,contracts,outcome,strike,premium,spy_close,market_conditions,risk_reward_ratio,position_rationale,strike_type
20240125,balanced_put_sale,-43.999999999999545,-47.86999999999954,3.8699999999999974,1,ASSIGNED,488.0,0.19,487.37,"{'favorable': True, 'daily_return': 0.32317826265952926, 'daily_range': 0.6178880197612244, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",0.3015873015873038,"Range:0.62%, Buffer:$0.63",ITM
20240126,balanced_put_sale,20.000000000002505,16.250000000002494,3.7500000000000107,1,ASSIGNED,488.0,0.79,487.41,"{'favorable': True, 'daily_return': 0.2468069352748906, 'daily_range': 0.9296394562020489, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",1.3389830508475145,"Range:0.93%, Buffer:$0.59",ITM
20240130,balanced_put_sale,52.999999999998636,49.084999999998644,3.914999999999992,1,ASSIGNED,491.0,0.64,490.89,"{'favorable': True, 'daily_return': -0.04886689878443774, 'daily_range': 0.7106061531570071, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",5.818181818181097,"Range:0.71%, Buffer:$0.11",ITM
20240205,balanced_put_sale,54.0,50.08,3.9200000000000017,1,EXPIRED_WORTHLESS,493.0,0.54,493.23,"{'favorable': True, 'daily_return': -0.08508052263748792, 'daily_range': 1.1303555150410176, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",2.3478260869563363,"Range:1.13%, Buffer:$-0.23",OTM
20240206,balanced_put_sale,50.00000000000182,46.10000000000181,3.9000000000000057,1,ASSIGNED,494.0,0.52,493.98,"{'favorable': True, 'daily_return': 0.20081543236171304, 'daily_range': 2.851216454694825, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",26.000000000023647,"Range:2.85%, Buffer:$0.02",ITM
20240207,balanced_put_sale,10.0,6.300000000000001,3.6999999999999993,1,ASSIGNED,498.0,0.1,498.0,"{'favorable': True, 'daily_return': 0.8137981294789225, 'daily_range': 5.338272804566976, 'volatility_level': 'HIGH', 'market_sentiment': 'bullish'}",inf,"Range:5.34%, Buffer:$0.00",OTM
20240208,balanced_put_sale,0.9999999999993125,-2.655000000000684,3.6549999999999967,1,ASSIGNED,499.0,0.69,498.32,"{'favorable': True, 'daily_return': 0.06827583437085324, 'daily_range': 0.4839551789228419, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",1.014705882352931,"Range:0.48%, Buffer:$0.68",ITM
20240209,balanced_put_sale,7.000000000000001,3.315000000000001,3.685,1,EXPIRED_WORTHLESS,501.0,0.07,501.2,"{'favorable': True, 'daily_return': 0.5718872278519045, 'daily_range': 2.835356677034212, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",0.3500000000000199,"Range:2.84%, Buffer:$-0.20",OTM
20240215,balanced_put_sale,-7.999999999999545,-11.689999999999543,3.6899999999999977,1,ASSIGNED,502.0,0.05,501.87,"{'favorable': True, 'daily_return': 0.32383808095952116, 'daily_range': 1.0674662668665618, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",0.38461538461539807,"Range:1.07%, Buffer:$0.13",ITM
20240222,balanced_put_sale,5.0,1.3250000000000002,3.675,1,EXPIRED_WORTHLESS,507.0,0.05,507.53,"{'favorable': True, 'daily_return': 0.8765304499920433, 'daily_range': 3.0912903482270564, 'volatility_level': 'HIGH', 'market_sentiment': 'bullish'}",0.0943396226415143,"Range:3.09%, Buffer:$-0.53",OTM
20240226,balanced_put_sale,21.00000000000091,17.245000000000907,3.7550000000000026,1,ASSIGNED,506.0,0.22,505.99,"{'favorable': True, 'daily_return': -0.26216194906567536, 'daily_range': 1.167901915950487, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",22.00000000002001,"Range:1.17%, Buffer:$0.01",ITM
20240228,balanced_put_sale,125.99999999999909,121.71999999999909,4.280000000000001,1,ASSIGNED,507.0,2.0,506.26,"{'favorable': True, 'daily_return': 0.09490292221915025, 'daily_range': 0.49428605322472224, 'volatility_level': 'LOW', 'market_sentiment': 'neutral'}",2.7027027027026693,"Range:0.49%, Buffer:$0.74",ITM
20240229,balanced_put_sale,76.0,71.97,4.030000000000001,1,EXPIRED_WORTHLESS,509.0,0.76,509.7,"{'favorable': True, 'daily_return': 0.8907363420427553, 'daily_range': 4.3655977830562165, 'volatility_level': 'HIGH', 'market_sentiment': 'bullish'}",1.0857142857143034,"Range:4.37%, Buffer:$-0.70",OTM
20240301,balanced_put_sale,22.000000000003638,18.24000000000362,3.7600000000000193,1,ASSIGNED,513.0,0.51,512.71,"{'favorable': True, 'daily_return': 0.6833847181038073, 'daily_range': 1.7064980460695667, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",1.758620689655393,"Range:1.71%, Buffer:$0.29",ITM
20240304,balanced_put_sale,11.0,7.295,3.705,1,EXPIRED_WORTHLESS,512.0,0.11,512.3,"{'favorable': True, 'daily_return': 0.015618289016424043, 'daily_range': 1.3373159970325295, 'volatility_level': 'MODERATE', 'market_sentiment': 'neutral'}",0.36666666666672226,"Range:1.34%, Buffer:$-0.30",OTM
20240307,balanced_put_sale,75.0,70.975,4.025000000000006,1,EXPIRED_WORTHLESS,515.0,0.75,515.015,"{'favorable': True, 'daily_return': 1.2035999921397553, 'daily_range': 6.486667059678908, 'volatility_level': 'HIGH', 'market_sentiment': 'bullish'}",50.000000000045475,"Range:6.49%, Buffer:$-0.01",OTM
20240308,balanced_put_sale,-34.999999999997726,-38.824999999997715,3.8249999999999886,1,ASSIGNED,512.0,0.05,511.6,"{'favorable': True, 'daily_return': -0.8046534173533645, 'daily_range': 1.3766359670382982, 'volatility_level': 'MODERATE', 'market_sentiment': 'bearish'}",0.1250000000000071,"Range:1.38%, Buffer:$0.40",ITM
20240312,balanced_put_sale,7.000000000004092,3.3150000000040714,3.6850000000000205,1,ASSIGNED,517.0,0.24,516.83,"{'favorable': True, 'daily_return': 0.6700559029198182, 'daily_range': 1.4540602660745305, 'volatility_level': 'MODERATE', 'market_sentiment': 'bullish'}",1.4117647058826928,"Range:1.45%, Buffer:$0.17",ITM
