date,trade_executed,strategy_used,pnl,spy_close,scaled_trade_details,error
20240301,True,scaled_primary,472.5500000000909,512.71,"{'original_contracts': 2, 'scaled_contracts': 25, 'scaling_factor': 12.5, 'strike': 513.0, 'premium': 0.51, 'scaled_gross_premium': 1275.0, 'cost_breakdown': {'commission': 16.25, 'bid_ask_cost': 44.62500000000001, 'slippage_cost': 10.200000000000001, 'market_impact': 6.375, 'total_costs': 77.45}, 'scaled_net_premium': 1197.55, 'spy_close': 512.71, 'scaled_final_pnl': 472.5500000000909, 'outcome': 'ASSIGNED', 'original_pnl': 35.000000000007276}",
20240304,True,scaled_primary,245.55,512.3,"{'original_contracts': 2, 'scaled_contracts': 25, 'scaling_factor': 12.5, 'strike': 512.0, 'premium': 0.11, 'scaled_gross_premium': 275.0, 'cost_breakdown': {'commission': 16.25, 'bid_ask_cost': 9.625000000000002, 'slippage_cost': 2.2, 'market_impact': 1.375, 'total_costs': 29.45}, 'scaled_net_premium': 245.55, 'spy_close': 512.3, 'scaled_final_pnl': 245.55, 'outcome': 'EXPIRED_WORTHLESS', 'original_pnl': 14.0}",
20240308,True,scaled_primary,-897.2499999999432,511.6,"{'original_contracts': 2, 'scaled_contracts': 25, 'scaling_factor': 12.5, 'strike': 512.0, 'premium': 0.05, 'scaled_gross_premium': 125.0, 'cost_breakdown': {'commission': 16.25, 'bid_ask_cost': 4.375, 'slippage_cost': 1.0, 'market_impact': 0.625, 'total_costs': 22.25}, 'scaled_net_premium': 102.75, 'spy_close': 511.6, 'scaled_final_pnl': -897.2499999999432, 'outcome': 'ASSIGNED', 'original_pnl': -78.99999999999545}",
20240311,False,,0.0,,,scaling_error: 'contracts'
20240312,True,scaled_primary,129.95000000010236,516.83,"{'original_contracts': 2, 'scaled_contracts': 25, 'scaling_factor': 12.5, 'strike': 517.0, 'premium': 0.24, 'scaled_gross_premium': 600.0, 'cost_breakdown': {'commission': 16.25, 'bid_ask_cost': 21.000000000000004, 'slippage_cost': 4.8, 'market_impact': 3.0, 'total_costs': 45.05}, 'scaled_net_premium': 554.95, 'spy_close': 516.83, 'scaled_final_pnl': 129.95000000010236, 'outcome': 'ASSIGNED', 'original_pnl': 5.0000000000081855}",
20240313,False,,0.0,,,scaling_error: 'contracts'
20240315,True,scaled_primary,-540.2499999999432,509.6,"{'original_contracts': 2, 'scaled_contracts': 25, 'scaling_factor': 12.5, 'strike': 510.0, 'premium': 0.2, 'scaled_gross_premium': 500.0, 'cost_breakdown': {'commission': 16.25, 'bid_ask_cost': 17.5, 'slippage_cost': 4.0, 'market_impact': 2.5, 'total_costs': 40.25}, 'scaled_net_premium': 459.75, 'spy_close': 509.6, 'scaled_final_pnl': -540.2499999999432, 'outcome': 'ASSIGNED', 'original_pnl': -48.99999999999545}",
20240318,True,scaled_primary,707.8500000000341,512.985,"{'original_contracts': 2, 'scaled_contracts': 25, 'scaling_factor': 12.5, 'strike': 513.0, 'premium': 0.32, 'scaled_gross_premium': 800.0, 'cost_breakdown': {'commission': 16.25, 'bid_ask_cost': 28.000000000000004, 'slippage_cost': 6.4, 'market_impact': 4.0, 'total_costs': 54.65}, 'scaled_net_premium': 745.35, 'spy_close': 512.985, 'scaled_final_pnl': 707.8500000000341, 'outcome': 'ASSIGNED', 'original_pnl': 52.00000000000273}",
20240319,True,scaled_primary,282.1500000000909,515.71,"{'original_contracts': 2, 'scaled_contracts': 25, 'scaling_factor': 12.5, 'strike': 516.0, 'premium': 0.43, 'scaled_gross_premium': 1075.0, 'cost_breakdown': {'commission': 16.25, 'bid_ask_cost': 37.62500000000001, 'slippage_cost': 8.6, 'market_impact': 5.375, 'total_costs': 67.85000000000001}, 'scaled_net_premium': 1007.15, 'spy_close': 515.71, 'scaled_final_pnl': 282.1500000000909, 'outcome': 'ASSIGNED', 'original_pnl': 19.000000000007276}",
20240322,True,scaled_primary,126.55,521.21,"{'original_contracts': 2, 'scaled_contracts': 25, 'scaling_factor': 12.5, 'strike': 521.0, 'premium': 0.06, 'scaled_gross_premium': 150.0, 'cost_breakdown': {'commission': 16.25, 'bid_ask_cost': 5.250000000000001, 'slippage_cost': 1.2, 'market_impact': 0.75, 'total_costs': 23.45}, 'scaled_net_premium': 126.55, 'spy_close': 521.21, 'scaled_final_pnl': 126.55, 'outcome': 'EXPIRED_WORTHLESS', 'original_pnl': 4.0}",
