strategy,contracts,strike,premium,gross_premium,total_costs,net_premium,spy_close,final_pnl,outcome,long_strike,short_strike,net_cost
balanced_minimal_scale_put_sale,2.0,513.0,0.51,102.0,8.0,94.0,512.71,35.000000000007276,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,512.0,0.11,22.0,8.0,14.0,512.3,14.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,512.0,0.05,10.0,8.0,2.0,511.6,-78.99999999999545,ASSIGNED,,,
closer_atm_put,,511.0,0.02,,,,,-1.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,517.0,0.24,48.0,8.0,40.0,516.83,5.0000000000081855,ASSIGNED,,,
closer_atm_put,,516.0,0.02,,,,,-4.4999999999972715,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,510.0,0.2,40.0,8.0,32.0,509.6,-48.99999999999545,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,513.0,0.32,64.0,8.0,56.0,512.985,52.00000000000273,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,516.0,0.43,86.0,8.0,78.0,515.71,19.000000000007276,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,521.0,0.06,12.0,8.0,4.0,521.21,4.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,520.0,0.18,36.0,8.0,28.0,519.77,-19.000000000003638,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,520.0,0.77,154.0,8.0,146.0,519.71,87.00000000000728,ASSIGNED,,,
closer_atm_put,,523.0,0.02,,,,,-23.50000000000273,ASSIGNED,,,
closer_atm_put,,523.0,0.02,,,,,-1.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,520.0,0.15,30.0,8.0,22.0,519.41,-97.00000000000637,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,515.0,1.41,282.0,8.0,274.0,515.32,274.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,518.0,0.05,10.0,8.0,2.0,518.48,2.0,EXPIRED_WORTHLESS,,,
bear_put_spread,,,,,,,,25.999999999997275,PARTIAL_PROFIT,520.0,518.0,0.96
balanced_minimal_scale_put_sale,2.0,513.0,0.07,14.000000000000002,8.0,6.000000000000002,512.91,-13.000000000006365,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,519.0,0.86,172.0,8.0,164.0,518.93,148.99999999999,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,511.0,0.13,26.0,8.0,18.0,510.72,-38.99999999999454,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,506.0,1.82,364.0,8.0,356.0,506.29,356.0,EXPIRED_WORTHLESS,,,
closer_atm_put,,503.0,0.04,,,,,1.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,502.0,1.51,302.0,8.0,294.0,501.79,251.0000000000041,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,500.0,0.38,76.0,8.0,68.0,499.89,44.99999999999727,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,496.0,0.85,170.0,8.0,162.0,496.425,162.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,500.0,0.72,144.0,8.0,136.0,500.61,136.0,EXPIRED_WORTHLESS,,,
bear_put_spread,,,,,,,,-9.999999999999094,PARTIAL_PROFIT,509.0,507.0,0.78
balanced_minimal_scale_put_sale,2.0,510.0,0.07,14.000000000000002,8.0,6.000000000000002,510.06,6.000000000000002,EXPIRED_WORTHLESS,,,
closer_atm_put,,503.0,1.12,,,,,109.00000000000001,EXPIRED_WORTHLESS,,,
closer_atm_put,,507.0,6.1,,,,,607.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,505.0,0.57,113.99999999999999,8.0,105.99999999999999,504.515,7.999999999997257,ASSIGNED,,,
bear_put_spread,,,,,,,,49.99999999999977,PARTIAL_PROFIT,512.0,510.0,0.13
closer_atm_put,,523.0,0.02,,,,,-1.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,530.0,0.91,182.0,8.0,174.0,529.69,111.00000000001091,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,529.0,0.6,120.0,8.0,112.0,528.69,49.000000000010914,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,530.0,0.28,56.00000000000001,8.0,48.00000000000001,530.06,48.00000000000001,EXPIRED_WORTHLESS,,,
bear_put_spread,,,,,,,,-21.000000000001368,PARTIAL_PROFIT,532.0,530.0,0.79
balanced_minimal_scale_put_sale,2.0,529.0,1.17,234.0,8.0,226.0,529.83,226.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,526.0,0.16,32.0,8.0,24.0,526.1,24.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,526.0,0.64,128.0,8.0,120.0,526.1,120.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,523.0,1.1,220.00000000000003,8.0,212.00000000000003,522.61,133.00000000000276,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,527.0,0.11,22.0,8.0,14.0,527.08,14.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,535.0,0.63,126.0,8.0,118.0,534.66,48.99999999999363,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,537.0,0.1,20.0,8.0,12.0,536.95,1.000000000009095,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,541.0,0.12,24.0,8.0,16.0,541.36,16.0,EXPIRED_WORTHLESS,,,
closer_atm_put,,542.0,0.02,,,,,-1.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,543.0,0.5,100.0,8.0,92.0,542.85,61.00000000000455,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,547.0,0.24,48.0,8.0,40.0,547.1,40.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,549.0,0.46,92.0,8.0,84.0,548.49,-18.99999999999818,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,547.0,0.35,70.0,8.0,62.0,547.17,62.0,EXPIRED_WORTHLESS,,,
balanced_minimal_scale_put_sale,2.0,545.0,0.29,57.99999999999999,8.0,49.99999999999999,544.83,15.000000000008178,ASSIGNED,,,
balanced_minimal_scale_put_sale,2.0,545.0,0.05,10.0,8.0,2.0,545.34,2.0,EXPIRED_WORTHLESS,,,
